question,intent,language,source
Please explain potato early blight.,early_blight,English,template_generated_training
What should a farmer know about potato early blight?,early_blight,English,template_generated_training
I need guidance on potato early blight.,early_blight,English,template_generated_training
Could you give advice about potato early blight?,early_blight,English,template_generated_training
Please explain brown target-shaped rings on older potato leaves.,early_blight,English,template_generated_training
What should a farmer know about brown target-shaped rings on older potato leaves?,early_blight,English,template_generated_training
I need guidance on brown target-shaped rings on older potato leaves.,early_blight,English,template_generated_training
Could you give advice about brown target-shaped rings on older potato leaves?,early_blight,English,template_generated_training
Please explain circular dry spots caused by early blight.,early_blight,English,template_generated_training
What should a farmer know about circular dry spots caused by early blight?,early_blight,English,template_generated_training
I need guidance on circular dry spots caused by early blight.,early_blight,English,template_generated_training
Could you give advice about circular dry spots caused by early blight?,early_blight,English,template_generated_training
Please explain signs of early blight in potato plants.,early_blight,English,template_generated_training
What should a farmer know about signs of early blight in potato plants?,early_blight,English,template_generated_training
I need guidance on signs of early blight in potato plants.,early_blight,English,template_generated_training
Could you give advice about signs of early blight in potato plants?,early_blight,English,template_generated_training
Please explain how early blight starts on lower leaves.,early_blight,English,template_generated_training
What should a farmer know about how early blight starts on lower leaves?,early_blight,English,template_generated_training
I need guidance on how early blight starts on lower leaves.,early_blight,English,template_generated_training
Could you give advice about how early blight starts on lower leaves?,early_blight,English,template_generated_training
कृपया आलुको अर्ली ब्लाइट बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले आलुको अर्ली ब्लाइट सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई आलुको अर्ली ब्लाइट बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
आलुको अर्ली ब्लाइट सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया पुराना पातमा देखिने गोलाकार खैरो दाग बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले पुराना पातमा देखिने गोलाकार खैरो दाग सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई पुराना पातमा देखिने गोलाकार खैरो दाग बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
पुराना पातमा देखिने गोलाकार खैरो दाग सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया अर्ली ब्लाइटका सुरुका लक्षण बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले अर्ली ब्लाइटका सुरुका लक्षण सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई अर्ली ब्लाइटका सुरुका लक्षण बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
अर्ली ब्लाइटका सुरुका लक्षण सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया आलुको पातमा घेराजस्तो दाग बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले आलुको पातमा घेराजस्तो दाग सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई आलुको पातमा घेराजस्तो दाग बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
आलुको पातमा घेराजस्तो दाग सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
कृपया अर्ली ब्लाइट कसरी चिन्ने बारे बताइदिनुहोस्।,early_blight,Nepali,template_generated_training
किसानले अर्ली ब्लाइट कसरी चिन्ने सम्बन्धमा के जान्नुपर्छ?,early_blight,Nepali,template_generated_training
मलाई अर्ली ब्लाइट कसरी चिन्ने बारे सल्लाह चाहिन्छ।,early_blight,Nepali,template_generated_training
अर्ली ब्लाइट कसरी चिन्ने सम्बन्धी मार्गदर्शन दिनुहोस्।,early_blight,Nepali,template_generated_training
Please explain potato late blight.,late_blight,English,template_generated_training
What should a farmer know about potato late blight?,late_blight,English,template_generated_training
I need guidance on potato late blight.,late_blight,English,template_generated_training
Could you give advice about potato late blight?,late_blight,English,template_generated_training
Please explain dark water-soaked patches on potato leaves.,late_blight,English,template_generated_training
What should a farmer know about dark water-soaked patches on potato leaves?,late_blight,English,template_generated_training
I need guidance on dark water-soaked patches on potato leaves.,late_blight,English,template_generated_training
Could you give advice about dark water-soaked patches on potato leaves?,late_blight,English,template_generated_training
Please explain late blight during cool and humid weather.,late_blight,English,template_generated_training
What should a farmer know about late blight during cool and humid weather?,late_blight,English,template_generated_training
I need guidance on late blight during cool and humid weather.,late_blight,English,template_generated_training
Could you give advice about late blight during cool and humid weather?,late_blight,English,template_generated_training
Please explain the rapid spread of late blight.,late_blight,English,template_generated_training
What should a farmer know about the rapid spread of late blight?,late_blight,English,template_generated_training
I need guidance on the rapid spread of late blight.,late_blight,English,template_generated_training
Could you give advice about the rapid spread of late blight?,late_blight,English,template_generated_training
Please explain white fungal growth under infected leaves.,late_blight,English,template_generated_training
What should a farmer know about white fungal growth under infected leaves?,late_blight,English,template_generated_training
I need guidance on white fungal growth under infected leaves.,late_blight,English,template_generated_training
Could you give advice about white fungal growth under infected leaves?,late_blight,English,template_generated_training
कृपया आलुको लेट ब्लाइट बारे बताइदिनुहोस्।,late_blight,Nepali,template_generated_training
किसानले आलुको लेट ब्लाइट सम्बन्धमा के जान्नुपर्छ?,late_blight,Nepali,template_generated_training
मलाई आलुको लेट ब्लाइट बारे सल्लाह चाहिन्छ।,late_blight,Nepali,template_generated_training
आलुको लेट ब्लाइट सम्बन्धी मार्गदर्शन दिनुहोस्।,late_blight,Nepali,template_generated_training
कृपया पातमा देखिने कालो र भिजेको जस्तो दाग बारे बताइदिनुहोस्।,late_blight,Nepali,template_generated_training
किसानले पातमा देखिने कालो र भिजेको जस्तो दाग सम्बन्धमा के जान्नुपर्छ?,late_blight,Nepali,template_generated_training
मलाई पातमा देखिने कालो र भिजेको जस्तो दाग बारे सल्लाह चाहिन्छ।,late_blight,Nepali,template_generated_training
पातमा देखिने कालो र भिजेको जस्तो दाग सम्बन्धी मार्गदर्शन दिनुहोस्।,late_blight,Nepali,template_generated_training
कृपया चिसो र आर्द्र मौसममा फैलिने लेट ब्लाइट बारे बताइदिनुहोस्।,late_blight,Nepali,template_generated_training
किसानले चिसो र आर्द्र मौसममा फैलिने लेट ब्लाइट सम्बन्धमा के जान्नुपर्छ?,late_blight,Nepali,template_generated_training
मलाई चिसो र आर्द्र मौसममा फैलिने लेट ब्लाइट बारे सल्लाह चाहिन्छ।,late_blight,Nepali,template_generated_training
चिसो र आर्द्र मौसममा फैलिने लेट ब्लाइट सम्बन्धी मार्गदर्शन दिनुहोस्।,late_blight,Nepali,template_generated_training
कृपया लेट ब्लाइट छिटो फैलिने कारण बारे बताइदिनुहोस्।,late_blight,Nepali,template_generated_training
किसानले लेट ब्लाइट छिटो फैलिने कारण सम्बन्धमा के जान्नुपर्छ?,late_blight,Nepali,template_generated_training
मलाई लेट ब्लाइट छिटो फैलिने कारण बारे सल्लाह चाहिन्छ।,late_blight,Nepali,template_generated_training
लेट ब्लाइट छिटो फैलिने कारण सम्बन्धी मार्गदर्शन दिनुहोस्।,late_blight,Nepali,template_generated_training
कृपया संक्रमित पातको तल देखिने सेतो ढुसी बारे बताइदिनुहोस्।,late_blight,Nepali,template_generated_training
किसानले संक्रमित पातको तल देखिने सेतो ढुसी सम्बन्धमा के जान्नुपर्छ?,late_blight,Nepali,template_generated_training
मलाई संक्रमित पातको तल देखिने सेतो ढुसी बारे सल्लाह चाहिन्छ।,late_blight,Nepali,template_generated_training
संक्रमित पातको तल देखिने सेतो ढुसी सम्बन्धी मार्गदर्शन दिनुहोस्।,late_blight,Nepali,template_generated_training
Please explain removing infected potato leaves safely.,disease_management,English,template_generated_training
What should a farmer know about removing infected potato leaves safely?,disease_management,English,template_generated_training
I need guidance on removing infected potato leaves safely.,disease_management,English,template_generated_training
Could you give advice about removing infected potato leaves safely?,disease_management,English,template_generated_training
Please explain controlling an existing potato disease.,disease_management,English,template_generated_training
What should a farmer know about controlling an existing potato disease?,disease_management,English,template_generated_training
I need guidance on controlling an existing potato disease.,disease_management,English,template_generated_training
Could you give advice about controlling an existing potato disease?,disease_management,English,template_generated_training
Please explain what to do after potato disease is detected.,disease_management,English,template_generated_training
What should a farmer know about what to do after potato disease is detected?,disease_management,English,template_generated_training
I need guidance on what to do after potato disease is detected.,disease_management,English,template_generated_training
Could you give advice about what to do after potato disease is detected?,disease_management,English,template_generated_training
Please explain using fungicide only with expert advice.,disease_management,English,template_generated_training
What should a farmer know about using fungicide only with expert advice?,disease_management,English,template_generated_training
I need guidance on using fungicide only with expert advice.,disease_management,English,template_generated_training
Could you give advice about using fungicide only with expert advice?,disease_management,English,template_generated_training
Please explain disposing of infected potato plants.,disease_management,English,template_generated_training
What should a farmer know about disposing of infected potato plants?,disease_management,English,template_generated_training
I need guidance on disposing of infected potato plants.,disease_management,English,template_generated_training
Could you give advice about disposing of infected potato plants?,disease_management,English,template_generated_training
कृपया संक्रमित आलुको पात सुरक्षित रूपमा हटाउने तरिका बारे बताइदिनुहोस्।,disease_management,Nepali,template_generated_training
किसानले संक्रमित आलुको पात सुरक्षित रूपमा हटाउने तरिका सम्बन्धमा के जान्नुपर्छ?,disease_management,Nepali,template_generated_training
मलाई संक्रमित आलुको पात सुरक्षित रूपमा हटाउने तरिका बारे सल्लाह चाहिन्छ।,disease_management,Nepali,template_generated_training
संक्रमित आलुको पात सुरक्षित रूपमा हटाउने तरिका सम्बन्धी मार्गदर्शन दिनुहोस्।,disease_management,Nepali,template_generated_training
कृपया लागिसकेको आलुको रोग नियन्त्रण गर्ने उपाय बारे बताइदिनुहोस्।,disease_management,Nepali,template_generated_training
किसानले लागिसकेको आलुको रोग नियन्त्रण गर्ने उपाय सम्बन्धमा के जान्नुपर्छ?,disease_management,Nepali,template_generated_training
मलाई लागिसकेको आलुको रोग नियन्त्रण गर्ने उपाय बारे सल्लाह चाहिन्छ।,disease_management,Nepali,template_generated_training
लागिसकेको आलुको रोग नियन्त्रण गर्ने उपाय सम्बन्धी मार्गदर्शन दिनुहोस्।,disease_management,Nepali,template_generated_training
कृपया आलुमा रोग भेटिएपछि गर्नुपर्ने काम बारे बताइदिनुहोस्।,disease_management,Nepali,template_generated_training
किसानले आलुमा रोग भेटिएपछि गर्नुपर्ने काम सम्बन्धमा के जान्नुपर्छ?,disease_management,Nepali,template_generated_training
मलाई आलुमा रोग भेटिएपछि गर्नुपर्ने काम बारे सल्लाह चाहिन्छ।,disease_management,Nepali,template_generated_training
आलुमा रोग भेटिएपछि गर्नुपर्ने काम सम्बन्धी मार्गदर्शन दिनुहोस्।,disease_management,Nepali,template_generated_training
कृपया विशेषज्ञको सल्लाहमा ढुसीनाशक प्रयोग बारे बताइदिनुहोस्।,disease_management,Nepali,template_generated_training
किसानले विशेषज्ञको सल्लाहमा ढुसीनाशक प्रयोग सम्बन्धमा के जान्नुपर्छ?,disease_management,Nepali,template_generated_training
मलाई विशेषज्ञको सल्लाहमा ढुसीनाशक प्रयोग बारे सल्लाह चाहिन्छ।,disease_management,Nepali,template_generated_training
विशेषज्ञको सल्लाहमा ढुसीनाशक प्रयोग सम्बन्धी मार्गदर्शन दिनुहोस्।,disease_management,Nepali,template_generated_training
कृपया संक्रमित आलुको बिरुवा व्यवस्थापन बारे बताइदिनुहोस्।,disease_management,Nepali,template_generated_training
किसानले संक्रमित आलुको बिरुवा व्यवस्थापन सम्बन्धमा के जान्नुपर्छ?,disease_management,Nepali,template_generated_training
मलाई संक्रमित आलुको बिरुवा व्यवस्थापन बारे सल्लाह चाहिन्छ।,disease_management,Nepali,template_generated_training
संक्रमित आलुको बिरुवा व्यवस्थापन सम्बन्धी मार्गदर्शन दिनुहोस्।,disease_management,Nepali,template_generated_training
Please explain how often to irrigate potatoes.,irrigation,English,template_generated_training
What should a farmer know about how often to irrigate potatoes?,irrigation,English,template_generated_training
I need guidance on how often to irrigate potatoes.,irrigation,English,template_generated_training
Could you give advice about how often to irrigate potatoes?,irrigation,English,template_generated_training
Please explain watering potatoes without wetting the leaves.,irrigation,English,template_generated_training
What should a farmer know about watering potatoes without wetting the leaves?,irrigation,English,template_generated_training
I need guidance on watering potatoes without wetting the leaves.,irrigation,English,template_generated_training
Could you give advice about watering potatoes without wetting the leaves?,irrigation,English,template_generated_training
Please explain the best time of day to water potato plants.,irrigation,English,template_generated_training
What should a farmer know about the best time of day to water potato plants?,irrigation,English,template_generated_training
I need guidance on the best time of day to water potato plants.,irrigation,English,template_generated_training
Could you give advice about the best time of day to water potato plants?,irrigation,English,template_generated_training
Please explain the effect of too much water around potato roots.,irrigation,English,template_generated_training
What should a farmer know about the effect of too much water around potato roots?,irrigation,English,template_generated_training
I need guidance on the effect of too much water around potato roots.,irrigation,English,template_generated_training
Could you give advice about the effect of too much water around potato roots?,irrigation,English,template_generated_training
Please explain maintaining suitable soil moisture for potatoes.,irrigation,English,template_generated_training
What should a farmer know about maintaining suitable soil moisture for potatoes?,irrigation,English,template_generated_training
I need guidance on maintaining suitable soil moisture for potatoes.,irrigation,English,template_generated_training
Could you give advice about maintaining suitable soil moisture for potatoes?,irrigation,English,template_generated_training
कृपया आलुमा कति पटक सिँचाइ गर्ने बारे बताइदिनुहोस्।,irrigation,Nepali,template_generated_training
किसानले आलुमा कति पटक सिँचाइ गर्ने सम्बन्धमा के जान्नुपर्छ?,irrigation,Nepali,template_generated_training
मलाई आलुमा कति पटक सिँचाइ गर्ने बारे सल्लाह चाहिन्छ।,irrigation,Nepali,template_generated_training
आलुमा कति पटक सिँचाइ गर्ने सम्बन्धी मार्गदर्शन दिनुहोस्।,irrigation,Nepali,template_generated_training
कृपया पात नभिजाई आलुमा पानी हाल्ने तरिका बारे बताइदिनुहोस्।,irrigation,Nepali,template_generated_training
किसानले पात नभिजाई आलुमा पानी हाल्ने तरिका सम्बन्धमा के जान्नुपर्छ?,irrigation,Nepali,template_generated_training
मलाई पात नभिजाई आलुमा पानी हाल्ने तरिका बारे सल्लाह चाहिन्छ।,irrigation,Nepali,template_generated_training
पात नभिजाई आलुमा पानी हाल्ने तरिका सम्बन्धी मार्गदर्शन दिनुहोस्।,irrigation,Nepali,template_generated_training
कृपया आलुमा पानी हाल्ने उपयुक्त समय बारे बताइदिनुहोस्।,irrigation,Nepali,template_generated_training
किसानले आलुमा पानी हाल्ने उपयुक्त समय सम्बन्धमा के जान्नुपर्छ?,irrigation,Nepali,template_generated_training
मलाई आलुमा पानी हाल्ने उपयुक्त समय बारे सल्लाह चाहिन्छ।,irrigation,Nepali,template_generated_training
आलुमा पानी हाल्ने उपयुक्त समय सम्बन्धी मार्गदर्शन दिनुहोस्।,irrigation,Nepali,template_generated_training
कृपया आलुको जरामा धेरै पानी हुँदा पर्ने असर बारे बताइदिनुहोस्।,irrigation,Nepali,template_generated_training
किसानले आलुको जरामा धेरै पानी हुँदा पर्ने असर सम्बन्धमा के जान्नुपर्छ?,irrigation,Nepali,template_generated_training
मलाई आलुको जरामा धेरै पानी हुँदा पर्ने असर बारे सल्लाह चाहिन्छ।,irrigation,Nepali,template_generated_training
आलुको जरामा धेरै पानी हुँदा पर्ने असर सम्बन्धी मार्गदर्शन दिनुहोस्।,irrigation,Nepali,template_generated_training
कृपया आलुको लागि उचित माटोको चिस्यान बारे बताइदिनुहोस्।,irrigation,Nepali,template_generated_training
किसानले आलुको लागि उचित माटोको चिस्यान सम्बन्धमा के जान्नुपर्छ?,irrigation,Nepali,template_generated_training
मलाई आलुको लागि उचित माटोको चिस्यान बारे सल्लाह चाहिन्छ।,irrigation,Nepali,template_generated_training
आलुको लागि उचित माटोको चिस्यान सम्बन्धी मार्गदर्शन दिनुहोस्।,irrigation,Nepali,template_generated_training
Please explain choosing fertilizer for potato crops.,fertilizer,English,template_generated_training
What should a farmer know about choosing fertilizer for potato crops?,fertilizer,English,template_generated_training
I need guidance on choosing fertilizer for potato crops.,fertilizer,English,template_generated_training
Could you give advice about choosing fertilizer for potato crops?,fertilizer,English,template_generated_training
Please explain when to apply fertilizer to potatoes.,fertilizer,English,template_generated_training
What should a farmer know about when to apply fertilizer to potatoes?,fertilizer,English,template_generated_training
I need guidance on when to apply fertilizer to potatoes.,fertilizer,English,template_generated_training
Could you give advice about when to apply fertilizer to potatoes?,fertilizer,English,template_generated_training
Please explain using nitrogen fertilizer carefully.,fertilizer,English,template_generated_training
What should a farmer know about using nitrogen fertilizer carefully?,fertilizer,English,template_generated_training
I need guidance on using nitrogen fertilizer carefully.,fertilizer,English,template_generated_training
Could you give advice about using nitrogen fertilizer carefully?,fertilizer,English,template_generated_training
Please explain testing soil before applying fertilizer.,fertilizer,English,template_generated_training
What should a farmer know about testing soil before applying fertilizer?,fertilizer,English,template_generated_training
I need guidance on testing soil before applying fertilizer.,fertilizer,English,template_generated_training
Could you give advice about testing soil before applying fertilizer?,fertilizer,English,template_generated_training
Please explain signs of excessive fertilizer use.,fertilizer,English,template_generated_training
What should a farmer know about signs of excessive fertilizer use?,fertilizer,English,template_generated_training
I need guidance on signs of excessive fertilizer use.,fertilizer,English,template_generated_training
Could you give advice about signs of excessive fertilizer use?,fertilizer,English,template_generated_training
कृपया आलुको लागि उपयुक्त मल छनोट बारे बताइदिनुहोस्।,fertilizer,Nepali,template_generated_training
किसानले आलुको लागि उपयुक्त मल छनोट सम्बन्धमा के जान्नुपर्छ?,fertilizer,Nepali,template_generated_training
मलाई आलुको लागि उपयुक्त मल छनोट बारे सल्लाह चाहिन्छ।,fertilizer,Nepali,template_generated_training
आलुको लागि उपयुक्त मल छनोट सम्बन्धी मार्गदर्शन दिनुहोस्।,fertilizer,Nepali,template_generated_training
कृपया आलुमा मल हाल्ने सही समय बारे बताइदिनुहोस्।,fertilizer,Nepali,template_generated_training
किसानले आलुमा मल हाल्ने सही समय सम्बन्धमा के जान्नुपर्छ?,fertilizer,Nepali,template_generated_training
मलाई आलुमा मल हाल्ने सही समय बारे सल्लाह चाहिन्छ।,fertilizer,Nepali,template_generated_training
आलुमा मल हाल्ने सही समय सम्बन्धी मार्गदर्शन दिनुहोस्।,fertilizer,Nepali,template_generated_training
कृपया नाइट्रोजन मल सावधानीपूर्वक प्रयोग बारे बताइदिनुहोस्।,fertilizer,Nepali,template_generated_training
किसानले नाइट्रोजन मल सावधानीपूर्वक प्रयोग सम्बन्धमा के जान्नुपर्छ?,fertilizer,Nepali,template_generated_training
मलाई नाइट्रोजन मल सावधानीपूर्वक प्रयोग बारे सल्लाह चाहिन्छ।,fertilizer,Nepali,template_generated_training
नाइट्रोजन मल सावधानीपूर्वक प्रयोग सम्बन्धी मार्गदर्शन दिनुहोस्।,fertilizer,Nepali,template_generated_training
कृपया मल हाल्नुअघि माटो परीक्षण बारे बताइदिनुहोस्।,fertilizer,Nepali,template_generated_training
किसानले मल हाल्नुअघि माटो परीक्षण सम्बन्धमा के जान्नुपर्छ?,fertilizer,Nepali,template_generated_training
मलाई मल हाल्नुअघि माटो परीक्षण बारे सल्लाह चाहिन्छ।,fertilizer,Nepali,template_generated_training
मल हाल्नुअघि माटो परीक्षण सम्बन्धी मार्गदर्शन दिनुहोस्।,fertilizer,Nepali,template_generated_training
कृपया धेरै मल प्रयोग भएको लक्षण बारे बताइदिनुहोस्।,fertilizer,Nepali,template_generated_training
किसानले धेरै मल प्रयोग भएको लक्षण सम्बन्धमा के जान्नुपर्छ?,fertilizer,Nepali,template_generated_training
मलाई धेरै मल प्रयोग भएको लक्षण बारे सल्लाह चाहिन्छ।,fertilizer,Nepali,template_generated_training
धेरै मल प्रयोग भएको लक्षण सम्बन्धी मार्गदर्शन दिनुहोस्।,fertilizer,Nepali,template_generated_training
Please explain preventing potato diseases before they appear.,prevention,English,template_generated_training
What should a farmer know about preventing potato diseases before they appear?,prevention,English,template_generated_training
I need guidance on preventing potato diseases before they appear.,prevention,English,template_generated_training
Could you give advice about preventing potato diseases before they appear?,prevention,English,template_generated_training
Please explain crop rotation for healthy potato plants.,prevention,English,template_generated_training
What should a farmer know about crop rotation for healthy potato plants?,prevention,English,template_generated_training
I need guidance on crop rotation for healthy potato plants.,prevention,English,template_generated_training
Could you give advice about crop rotation for healthy potato plants?,prevention,English,template_generated_training
Please explain field hygiene and clean farming tools.,prevention,English,template_generated_training
What should a farmer know about field hygiene and clean farming tools?,prevention,English,template_generated_training
I need guidance on field hygiene and clean farming tools.,prevention,English,template_generated_training
Could you give advice about field hygiene and clean farming tools?,prevention,English,template_generated_training
Please explain proper plant spacing and airflow.,prevention,English,template_generated_training
What should a farmer know about proper plant spacing and airflow?,prevention,English,template_generated_training
I need guidance on proper plant spacing and airflow.,prevention,English,template_generated_training
Could you give advice about proper plant spacing and airflow?,prevention,English,template_generated_training
Please explain regular inspection for early disease symptoms.,prevention,English,template_generated_training
What should a farmer know about regular inspection for early disease symptoms?,prevention,English,template_generated_training
I need guidance on regular inspection for early disease symptoms.,prevention,English,template_generated_training
Could you give advice about regular inspection for early disease symptoms?,prevention,English,template_generated_training
कृपया रोग लाग्नुअघि आलुको रोग रोकथाम बारे बताइदिनुहोस्।,prevention,Nepali,template_generated_training
किसानले रोग लाग्नुअघि आलुको रोग रोकथाम सम्बन्धमा के जान्नुपर्छ?,prevention,Nepali,template_generated_training
मलाई रोग लाग्नुअघि आलुको रोग रोकथाम बारे सल्लाह चाहिन्छ।,prevention,Nepali,template_generated_training
रोग लाग्नुअघि आलुको रोग रोकथाम सम्बन्धी मार्गदर्शन दिनुहोस्।,prevention,Nepali,template_generated_training
कृपया स्वस्थ आलुको लागि बाली चक्र बारे बताइदिनुहोस्।,prevention,Nepali,template_generated_training
किसानले स्वस्थ आलुको लागि बाली चक्र सम्बन्धमा के जान्नुपर्छ?,prevention,Nepali,template_generated_training
मलाई स्वस्थ आलुको लागि बाली चक्र बारे सल्लाह चाहिन्छ।,prevention,Nepali,template_generated_training
स्वस्थ आलुको लागि बाली चक्र सम्बन्धी मार्गदर्शन दिनुहोस्।,prevention,Nepali,template_generated_training
कृपया खेतको सरसफाइ र सफा कृषि उपकरण बारे बताइदिनुहोस्।,prevention,Nepali,template_generated_training
किसानले खेतको सरसफाइ र सफा कृषि उपकरण सम्बन्धमा के जान्नुपर्छ?,prevention,Nepali,template_generated_training
मलाई खेतको सरसफाइ र सफा कृषि उपकरण बारे सल्लाह चाहिन्छ।,prevention,Nepali,template_generated_training
खेतको सरसफाइ र सफा कृषि उपकरण सम्बन्धी मार्गदर्शन दिनुहोस्।,prevention,Nepali,template_generated_training
कृपया बिरुवाबीच उचित दूरी र हावाको आवतजावत बारे बताइदिनुहोस्।,prevention,Nepali,template_generated_training
किसानले बिरुवाबीच उचित दूरी र हावाको आवतजावत सम्बन्धमा के जान्नुपर्छ?,prevention,Nepali,template_generated_training
मलाई बिरुवाबीच उचित दूरी र हावाको आवतजावत बारे सल्लाह चाहिन्छ।,prevention,Nepali,template_generated_training
बिरुवाबीच उचित दूरी र हावाको आवतजावत सम्बन्धी मार्गदर्शन दिनुहोस्।,prevention,Nepali,template_generated_training
कृपया रोगका सुरुका लक्षणका लागि नियमित निरीक्षण बारे बताइदिनुहोस्।,prevention,Nepali,template_generated_training
किसानले रोगका सुरुका लक्षणका लागि नियमित निरीक्षण सम्बन्धमा के जान्नुपर्छ?,prevention,Nepali,template_generated_training
मलाई रोगका सुरुका लक्षणका लागि नियमित निरीक्षण बारे सल्लाह चाहिन्छ।,prevention,Nepali,template_generated_training
रोगका सुरुका लक्षणका लागि नियमित निरीक्षण सम्बन्धी मार्गदर्शन दिनुहोस्।,prevention,Nepali,template_generated_training
